	年商2000万円超の記事作成代行サービス	2,160万円	2,379,945円	1,479,945円	900,000円	4,000	1件	2017-11-28
	PPC広告で約25万円の収益をだすアドセンスサイト	550万円	500,000円	250,000円	250,000円	184,000	6件	2017-11-28
	【価格変更】犬に関する幅広いニュースを扱うサイト	200万円	50,579円	2,000円	48,579円	152,480	15件	2017-11-24
	運営歴半年の男性向け恋愛・ファッションメディア	100万円	30,000円	3,000円	27,000円	120,000	7件	2017-11-24
	サラリーマン向きの株式投資方法について解説したサイト	25万円	4,545円	1,186円	3,359円	1,407	8件	2017-11-24
	細胞再生成分（美容・薄毛等）について解説しているサイト	45万円	2,000円	1,597円	403円	1,874	0件	2017-11-24
	【価格変更】漫画記事の評判や感想をまとめたブログ	30万円	10,200円	200円	10,000円	6,298	2件	2017-11-14
	完全ホワイトの雑記ブログサイト	55万円	22,729円	1,000円	21,729円	11,000	2件	2017-11-22
	仮想通貨初心者向けの情報サイト	3,500万円	800,000円	1,500円	798,500円	90,000	8件	2017-11-21
	世間で話題のニュースを扱ったニュースサイト	150万円	180,529円	1,195円	179,334円	546,977	4件	2017-11-20
	工具の使い方やDIY使用例の紹介サイト	60万円	18,000円	1,300円	16,700円	44,600	2件	2017-11-20
	仮想通貨の取引所の比較ランキングサイト	300万円	87,300円	500円	86,800円	10,000	3件	2017-11-20
	転職情報を発信しているホワイトハットサイト	1,200万円	453,876円	49,321円	404,555円	114,527	7件	2017-11-17
	美容やヘルスケアに関する情報サイト	110万円	52,644円	1,080円	51,564円	192,352	26件	2017-11-16
	ピアノ買取に関する情報サイト	8万円	3,000円	100円	2,800円	4,545	3件	2017-12-22
	【価格変更】月間売上30万円のバイラル系サイト	320万円	297,000円	1,000円	296,000円	2,800,000	10件	2017-12-13
	鼻づまりの解消方法に関するサイト	15万円	0円	150円	-150円	30	1件	2017-12-19
	男性用ボディソープのランキングサイト	20万円	800円	500円	300円	300	0件	2017-12-18
	男女の恋愛ノウハウを集めたブログメディア	200万円	80,225円	655円	79,570円	225,342	19件	2017-12-18
	【価格変更】乳酸菌サプリの公式販売サイト	400万円	460,000円	148,000円	312,000円	1,880	4件	2017-12-18
	男性のコンプレックスに関するオウンドメディア	55万円	0円	1,800円	-1,800円	6,181	9件	2017-12-17
	自動車一括査定のアフィリサイト	85万円	50,982円	15,372円	35,610円	4,050	2件	2017-12-15
	オリジナル腕時計が制作できるサイト	324万円	200,000円	139,000円	61,000円	5,725	1件	2017-12-13
	仮想通貨のマイニングに関する情報サイト	1,620万円	410,000円	2,700円	407,300円	34,000	4件	2017-12-13
	保険の総合情報サイト	420万円	341,300円	500円	340,800円	30,000	20件	2017-12-12
	アニメの聖地巡礼に関する情報サイト	95万円	20,000円	7,250円	12,750円	12,000	1件	2017-12-11
	特定の業種に絞った求人マッチングサイト	50万円	0円	515円	-515円	3,000	7件	2017-12-11
	自動で記事更新可能なポータルサイト	100万円	0円	515円	-515円	0	2件	2017-12-11
	妊活サプリや情報商材を紹介するアフィリサイト	20万円	0円	1,200円	-1,200円	71	0件	2017-12-09
	【価格変更】サラシアを含有するサプリの紹介サイト	8万円	0円	490円	-490円	50	2件	2017-12-01
	ダイエットに関する情報サイト	10万円	6,000円	1,000円	5,000円	16,868	19件	2017-12-05
	妊娠・出産に関する情報サイト	200万円	99,000円	1,000円	98,000円	291,882	15件	2017-12-05
	紹介営業のプラットフォームサイトおよび集客用サイト	380万円	0円	5,000円	-5,000円	23,000	0件	2017-12-05
	株式投資（IPO）に特化した情報サイト	25万円	3,500円	1,000円	2,500円	6,785	2件	2017-12-04
	【価格変更】英会話学校の比較・紹介サイト	80万円	16,600円	1,700円	14,900円	730	5件	2018-01-09
	生活のまめ知識をまとめているサイト	8万円	2,789円	1,195円	1,594円	9,334	5件	2018-01-13
	ホワイトSEOの雑記ブログサイト	20万円	10,000円	1,000円	9,000円	28,458	5件	2018-01-10
	介護転職のランキングサイト	120万円	40,032円	1,187円	38,845円	3,123	5件	2018-01-10
	仮想通貨FXの初心者向け情報サイト	360万円	272,492円	521円	271,971円	30,000	7件	2018-01-10
	四季のイベントなどの情報をお届けするブログ	80万円	38,000円	1,000円	37,000円	72,000	4件	2018-01-09
	FXのアフィリエイトサイト	100万円	33,650円	31,000円	2,650円	7,282	5件	2018-01-09
	メンズファッションブランドの公式ECサイト	1,000万円	600,000円	163,580円	436,420円	30,000	0件	2018-01-09
	メンズアパレル、古着、服飾雑貨のECサイト	50万円	70,000円	36,500円	33,500円	3,600	4件	2018-01-09
	格安SIMのアフィリエイトサイト	100万円	37,690円	5,500円	32,190円	5,926	1件	2018-01-09
	ポケットワイファイのアフィリエイトサイト	320万円	134,000円	1,500円	132,500円	5,000	2件	2018-01-09
	【価格変更】スマホゲーム関連情報を提供しているサイト	1,900万円	2,640,000円	3,500円	2,636,500円	730,000	9件	2017-11-01
	アフィリエイト用WordPressテーマ販売権譲渡	600万円	300,000円	18,300円	281,700円	2,189	4件	2017-12-29
	様々な物・サービスを紹介するサイト	150万円	60,000円	1,000円	59,000円	128,811	9件	2017-12-29
	子供や母親向けの手作り情報サイト	1,200万円	462,222円	7,006円	455,216円	2,532,058	11件	2017-12-28
	脱毛サロンのアフィリエイトサイト	100万円	75,000円	500円	74,500円	1,000	4件	2017-12-26
	債務整理のアフィリエイトサイト	150万円	30,000円	500円	29,500円	100	3件	2017-12-26
	家出人捜索・人探しの情報サイト	6万円	0円	200円	-200円	21	1件	2017-12-26
	野菜宅配サービスの比較サイト	8万円	640円	198円	442円	1,123	3件	2017-12-26
	【価格変更】男性コンプレックス矯正器具の紹介サイト	80万円	51,500円	610円	50,890円	4,100	2件	2017-12-21
	映画・ドラマ・アニメ・バラエティの紹介サイト	300万円	99,623円	1,072円	98,551円	20,000	2件	2018-02-13
	血液透析関連の情報発信サイト	200万円	35,240円	525円	34,715円	91,000	1件	2018-02-13
	大阪府でaga治療を考えている方向けの情報サイト	300万円	99,360円	300円	99,060円	1,364	2件	2018-02-07
	【価格変更】仮想通貨取引所の比較サイト	150万円	1,000,000円	701,000円	299,000円	3,000	3件	2018-02-05
